cashier_name,transaction_id,date,total_transaction
employee_3,1,2023-01-14,25.72
employee_1,2,2023-01-30,176.57
employee_3,3,2023-01-06,114.8
employee_3,4,2023-01-01,41.32
employee_1,5,2023-01-15,88.14
employee_1,6,2023-01-06,157.74
employee_3,7,2023-01-11,101.27
employee_2,8,2023-01-23,197.2
employee_3,9,2023-01-22,81.58
employee_3,10,2023-01-10,152.42
employee_3,11,2023-01-17,84.67
employee_3,12,2023-01-16,167.54
employee_1,13,2023-01-20,118.13
employee_3,14,2023-01-08,22.07
employee_2,15,2023-01-18,17.0
employee_1,16,2023-01-30,35.43
employee_2,17,2023-01-15,12.6
employee_2,18,2023-01-28,24.32
employee_2,19,2023-01-14,141.43
employee_2,20,2023-01-11,111.53
employee_1,21,2023-01-20,152.48
employee_1,22,2023-01-21,183.5
employee_2,23,2023-01-26,121.18
employee_2,24,2023-01-07,147.96
employee_1,25,2023-01-15,153.85
employee_1,26,2023-01-18,81.79
employee_1,27,2023-01-24,55.81
employee_3,28,2023-01-02,48.96
employee_3,29,2023-01-30,57.77
employee_3,30,2023-01-15,62.2
employee_2,31,2023-01-09,49.37
employee_3,32,2023-01-27,176.86
employee_2,33,2023-01-23,153.83
employee_2,34,2023-01-29,18.91
employee_3,35,2023-01-10,61.05
employee_2,36,2023-01-17,14.22
employee_3,37,2023-01-18,104.65
employee_3,38,2023-01-30,100.48
employee_1,39,2023-01-03,167.96
employee_3,40,2023-01-10,68.48
employee_1,41,2023-01-06,165.11
employee_3,42,2023-01-09,193.92
employee_3,43,2023-01-15,26.8
employee_1,44,2023-01-12,160.45
employee_1,45,2023-01-12,122.09
employee_3,46,2023-01-26,101.21
employee_2,47,2023-01-28,89.9
employee_1,48,2023-01-03,159.09
employee_2,49,2023-01-07,131.48
employee_2,50,2023-01-21,162.96
employee_2,51,2023-01-11,181.6
employee_1,52,2023-01-08,127.28
employee_2,53,2023-01-09,196.29
employee_1,54,2023-01-10,125.54
employee_2,55,2023-01-26,130.96
employee_3,56,2023-01-05,115.41
employee_3,57,2023-01-22,27.29
employee_1,58,2023-01-17,148.02
employee_3,59,2023-01-09,114.01
employee_3,60,2023-01-13,95.67
employee_2,61,2023-01-08,182.99
employee_1,62,2023-01-19,66.61
employee_2,63,2023-01-03,109.48
employee_2,64,2023-01-01,142.55
employee_2,65,2023-01-19,161.33
employee_2,66,2023-01-06,97.28
employee_2,67,2023-01-03,170.0
employee_2,68,2023-01-12,156.09
employee_2,69,2023-01-02,22.58
employee_1,70,2023-01-27,18.71
employee_3,71,2023-01-01,127.95
employee_2,72,2023-01-18,76.01
employee_2,73,2023-01-14,49.73
employee_2,74,2023-01-21,120.13
employee_2,75,2023-01-10,74.9
employee_2,76,2023-01-05,112.08
employee_2,77,2023-01-30,97.42
employee_3,78,2023-01-26,121.11
employee_3,79,2023-01-26,86.06
employee_2,80,2023-01-08,142.56
employee_3,81,2023-01-02,44.21
employee_1,82,2023-01-10,142.34
employee_2,83,2023-01-17,88.22
employee_1,84,2023-01-10,176.12
employee_1,85,2023-01-25,107.89
employee_2,86,2023-01-09,194.89
employee_3,87,2023-01-29,124.37
employee_1,88,2023-01-14,52.53
employee_2,89,2023-01-26,166.14
employee_1,90,2023-01-06,75.57
employee_1,91,2023-01-13,76.05
employee_1,92,2023-01-21,16.04
employee_1,93,2023-01-05,114.26
employee_3,94,2023-01-04,111.54
employee_1,95,2023-01-30,77.64
employee_1,96,2023-01-22,179.9
employee_1,97,2023-01-02,34.46
employee_3,98,2023-01-12,72.72
employee_1,99,2023-01-14,71.1
employee_1,100,2023-01-23,27.54
employee_3,101,2023-01-08,101.42
employee_3,102,2023-01-06,140.68
employee_3,103,2023-01-03,107.21
employee_1,104,2023-01-13,39.83
employee_3,105,2023-01-21,81.68
employee_3,106,2023-01-02,10.49
employee_1,107,2023-01-28,174.98
employee_3,108,2023-01-14,26.06
employee_1,109,2023-01-08,123.48
employee_2,110,2023-01-03,197.39
employee_3,111,2023-01-06,111.95
employee_2,112,2023-01-29,185.57
employee_1,113,2023-01-20,54.86
employee_3,114,2023-01-16,154.39
employee_1,115,2023-01-20,110.94
employee_2,116,2023-01-14,146.9
employee_1,117,2023-01-22,21.84
employee_3,118,2023-01-02,38.07
employee_3,119,2023-01-17,35.29
employee_2,120,2023-01-05,140.56
employee_1,121,2023-01-04,170.44
employee_3,122,2023-01-11,152.43
employee_2,123,2023-01-03,15.79
employee_3,124,2023-01-03,174.77
employee_3,125,2023-01-10,77.29
employee_1,126,2023-01-30,85.46
employee_3,127,2023-01-06,29.93
employee_1,128,2023-01-01,150.11
employee_3,129,2023-01-23,44.63
employee_2,130,2023-01-25,117.15
employee_3,131,2023-01-11,169.73
employee_1,132,2023-01-14,26.95
employee_1,133,2023-01-20,111.71
employee_2,134,2023-01-02,54.31
employee_3,135,2023-01-29,75.16
employee_3,136,2023-01-27,100.05
employee_2,137,2023-01-08,77.47
employee_3,138,2023-01-01,133.28
employee_3,139,2023-01-29,101.12
employee_1,140,2023-01-16,121.0
employee_3,141,2023-01-17,150.0
employee_3,142,2023-01-21,115.97
employee_2,143,2023-01-19,121.44
employee_2,144,2023-01-29,117.25
employee_1,145,2023-01-29,81.97
employee_3,146,2023-01-27,74.11
employee_3,147,2023-01-20,180.93
employee_3,148,2023-01-25,125.44
employee_1,149,2023-01-21,56.43
employee_1,150,2023-01-18,104.67
employee_2,151,2023-01-04,72.77
employee_1,152,2023-01-25,187.4
employee_3,153,2023-01-25,11.43
employee_3,154,2023-01-19,52.81
employee_1,155,2023-01-25,79.42
employee_3,156,2023-01-20,102.68
employee_3,157,2023-01-07,171.66
employee_1,158,2023-01-09,26.7
employee_1,159,2023-01-07,163.11
employee_3,160,2023-01-12,20.57
employee_3,161,2023-01-02,170.04
employee_3,162,2023-01-19,19.81
employee_2,163,2023-01-11,13.47
employee_2,164,2023-01-20,142.42
employee_2,165,2023-01-12,199.48
employee_1,166,2023-01-21,180.36
employee_2,167,2023-01-11,119.44
employee_1,168,2023-01-08,184.31
employee_1,169,2023-01-15,11.01
employee_2,170,2023-01-21,195.26
employee_2,171,2023-01-11,103.24
employee_2,172,2023-01-29,147.35
employee_3,173,2023-01-02,165.96
employee_2,174,2023-01-13,146.51
employee_3,175,2023-01-30,111.66
employee_1,176,2023-01-17,100.56
employee_3,177,2023-01-13,169.33
employee_2,178,2023-01-18,48.96
employee_1,179,2023-01-18,193.92
employee_1,180,2023-01-22,145.08
employee_1,181,2023-01-04,47.91
employee_3,182,2023-01-08,149.89
employee_2,183,2023-01-18,110.67
employee_1,184,2023-01-27,144.37
employee_1,185,2023-01-17,155.88
employee_1,186,2023-01-08,26.59
employee_3,187,2023-01-21,106.16
employee_3,188,2023-01-23,187.08
employee_2,189,2023-01-08,70.92
employee_3,190,2023-01-12,122.84
employee_1,191,2023-01-17,80.15
employee_2,192,2023-01-15,96.31
employee_1,193,2023-01-12,114.23
employee_1,194,2023-01-09,114.3
employee_3,195,2023-01-03,48.33
employee_2,196,2023-01-02,140.07
employee_3,197,2023-01-29,26.69
employee_3,198,2023-01-26,36.38
employee_2,199,2023-01-11,10.52
employee_1,200,2023-01-29,32.17
employee_1,201,2023-01-21,99.9
employee_2,202,2023-01-15,125.16
employee_1,203,2023-01-15,160.91
employee_2,204,2023-01-03,30.27
employee_2,205,2023-01-03,171.64
employee_3,206,2023-01-19,151.74
employee_2,207,2023-01-17,87.62
employee_3,208,2023-01-07,187.26
employee_1,209,2023-01-29,198.28
employee_1,210,2023-01-24,48.95
employee_1,211,2023-01-04,82.05
employee_1,212,2023-01-28,186.03
employee_3,213,2023-01-30,147.1
employee_1,214,2023-01-30,19.14
employee_2,215,2023-01-02,158.49
employee_2,216,2023-01-23,167.31
employee_2,217,2023-01-17,152.6
employee_3,218,2023-01-22,161.91
employee_1,219,2023-01-30,166.78
employee_1,220,2023-01-21,45.42
employee_1,221,2023-01-26,54.78
employee_3,222,2023-01-27,130.41
employee_2,223,2023-01-26,182.49
employee_2,224,2023-01-13,70.08
employee_1,225,2023-01-07,121.78
employee_2,226,2023-01-12,139.77
employee_2,227,2023-01-27,95.87
employee_3,228,2023-01-05,145.62
employee_3,229,2023-01-16,180.94
employee_3,230,2023-01-07,128.58
employee_3,231,2023-01-18,112.56
employee_1,232,2023-01-26,93.36
employee_3,233,2023-01-27,119.72
employee_2,234,2023-01-08,77.52
employee_1,235,2023-01-28,84.38
employee_2,236,2023-01-18,111.05
employee_2,237,2023-01-11,22.66
employee_2,238,2023-01-22,53.51
employee_3,239,2023-01-15,113.14
employee_3,240,2023-01-12,91.99
employee_1,241,2023-01-22,73.23
employee_1,242,2023-01-08,148.8
employee_3,243,2023-01-10,141.81
employee_2,244,2023-01-14,41.68
employee_1,245,2023-01-08,176.94
employee_3,246,2023-01-13,104.13
employee_3,247,2023-01-18,150.88
employee_3,248,2023-01-23,118.9
employee_2,249,2023-01-24,199.56
employee_3,250,2023-01-25,152.96
employee_3,251,2023-01-23,144.33
employee_3,252,2023-01-21,157.93
employee_3,253,2023-01-08,37.19
employee_1,254,2023-01-13,48.86
employee_1,255,2023-01-15,145.67
employee_3,256,2023-01-03,103.86
employee_2,257,2023-01-16,153.38
employee_1,258,2023-01-14,29.55
employee_3,259,2023-01-25,111.93
employee_1,260,2023-01-30,81.98
employee_1,261,2023-01-17,96.83
employee_2,262,2023-01-10,124.75
employee_3,263,2023-01-02,105.43
employee_3,264,2023-01-28,112.57
employee_2,265,2023-01-28,102.41
employee_2,266,2023-01-08,87.7
employee_3,267,2023-01-21,156.66
employee_3,268,2023-01-03,12.32
employee_2,269,2023-01-05,123.7
employee_1,270,2023-01-07,117.45
employee_1,271,2023-01-09,146.07
employee_2,272,2023-01-30,123.82
employee_1,273,2023-01-21,167.09
employee_2,274,2023-01-12,192.22
employee_1,275,2023-01-23,75.08
employee_1,276,2023-01-28,53.2
employee_3,277,2023-01-29,90.48
employee_3,278,2023-01-02,64.71
employee_1,279,2023-01-12,126.84
employee_1,280,2023-01-04,183.25
employee_3,281,2023-01-11,36.43
employee_3,282,2023-01-06,29.15
employee_3,283,2023-01-20,58.64
employee_2,284,2023-01-12,147.96
employee_1,285,2023-01-07,122.66
employee_3,286,2023-01-08,29.42
employee_1,287,2023-01-11,184.56
employee_2,288,2023-01-08,160.12
employee_2,289,2023-01-14,14.37
employee_3,290,2023-01-01,133.76
employee_2,291,2023-01-09,156.54
employee_1,292,2023-01-13,81.14
employee_3,293,2023-01-19,23.1
employee_1,294,2023-01-09,24.69
employee_1,295,2023-01-04,29.81
employee_2,296,2023-01-03,169.68
employee_2,297,2023-01-29,183.03
employee_2,298,2023-01-13,33.33
employee_2,299,2023-01-18,54.82
employee_2,300,2023-01-28,41.45
